H2H3encountersWins,3AllWins,3Wins,H2H3encountersLosses,3AllLosses,3Losses,H2H3encountersDraws,3AllDraws,3Draws,3FTGoals,3HTGoals,3Shots,3ShotsOnTarget,3Corners,3Fouls,3Yellows,3Reds,PtsDiff,result,BetResult
0.666666667,0.5,0.666666667,0.333333333,0.666666667,0.5,0,0.333333333,0.333333333,0.518518519,0.428571429,0.425531915,0.450704225,0.5,0.4125,0.7,0.5,0.512812222,D,H
0.333333333,0.666666667,0.666666667,0.333333333,0.5,0.5,0.333333333,0.333333333,0.333333333,0.407407407,0.642857143,0.489361702,0.450704225,0.453125,0.475,0.65,0.5,0.561716919,H,H
0.666666667,0.5,0.666666667,0.333333333,0.5,0.333333333,0,0.5,0.5,0.481481481,0.5,0.531914894,0.563380282,0.53125,0.4,0.6,0.666666667,0.524775685,H,H
0.333333333,0.666666667,0.666666667,0.333333333,0.333333333,0.333333333,0.333333333,0.5,0.5,0.592592593,0.571428571,0.489361702,0.521126761,0.578125,0.425,0.4,0.5,0.52736238,A,H
0.333333333,0.5,0.666666667,0.333333333,0.333333333,0.5,0.333333333,0.666666667,0.333333333,0.481481481,0.5,0.446808511,0.507042254,0.59375,0.475,0.5,0.5,0.479427694,D,A
0.333333333,0.666666667,0.666666667,0.333333333,0.5,0.333333333,0.333333333,0.333333333,0.5,0.444444444,0.357142857,0.393617021,0.422535211,0.453125,0.45,0.35,0.5,0.328510226,A,A
0.666666667,0.666666667,0.666666667,0.333333333,0.5,0.333333333,0,0.333333333,0.5,0.555555556,0.571428571,0.70212766,0.647887324,0.609375,0.4625,0.45,0.5,0.5477326,D,H
0.333333333,0.5,0.5,0.666666667,0.666666667,0.666666667,0,0.333333333,0.333333333,0.555555556,0.5,0.425531915,0.450704225,0.265625,0.475,0.5,0.5,0.254142753,D,A
0.333333333,0.333333333,0.5,0.666666667,0.666666667,0.5,0,0.5,0.5,0.444444444,0.642857143,0.553191489,0.521126761,0.453125,0.4125,0.25,0.333333333,0.519521461,H,H
0.666666667,0.5,0.666666667,0.333333333,0.5,0.333333333,0,0.5,0.5,0.407407407,0.571428571,0.425531915,0.408450704,0.453125,0.25,0.55,0.5,0.504082128,D,H
0.333333333,0.333333333,0.666666667,0.333333333,0.5,0.5,0.333333333,0.666666667,0.333333333,0.481481481,0.571428571,0.393617021,0.507042254,0.578125,0.3875,0.5,0.5,0.504082128,H,H
0.333333333,0.666666667,0.666666667,0.666666667,0.333333333,0.333333333,0,0.5,0.5,0.62962963,0.571428571,0.563829787,0.549295775,0.34375,0.2875,0.45,0.5,0.527766551,D,H
0.333333333,0.666666667,0.833333333,0.666666667,0.333333333,0.333333333,0,0.5,0.333333333,0.444444444,0.357142857,0.468085106,0.464788732,0.4375,0.425,0.55,0.5,0.721364481,H,H
0.333333333,0.5,0.5,0.333333333,0.5,0.5,0.333333333,0.5,0.5,0.62962963,0.571428571,0.414893617,0.507042254,0.53125,0.375,0.35,0.666666667,0.505698812,A,A
0.666666667,0.5,0.666666667,0.333333333,0.666666667,0.5,0,0.333333333,0.333333333,0.592592593,0.714285714,0.531914894,0.535211268,0.4375,0.5625,0.45,0.666666667,0.442648129,H,H
0.333333333,0.333333333,0.5,0.666666667,0.666666667,0.666666667,0,0.5,0.333333333,0.444444444,0.357142857,0.521276596,0.535211268,0.640625,0.35,0.5,0.5,0.512812222,A,H
0.666666667,0.666666667,0.5,0.333333333,0.5,0.5,0,0.333333333,0.5,0.444444444,0.5,0.436170213,0.408450704,0.609375,0.2625,0.45,0.5,0.665346375,A,H
0.666666667,0.666666667,0.666666667,0.333333333,0.333333333,0.5,0,0.5,0.333333333,0.518518519,0.714285714,0.638297872,0.633802817,0.5,0.375,0.5,0.5,0.563252769,H,H
0.333333333,0.666666667,0.5,0.333333333,0.5,0.5,0.333333333,0.333333333,0.5,0.37037037,0.428571429,0.414893617,0.408450704,0.4375,0.5375,0.45,0.5,0.452024897,A,A
0.333333333,0.666666667,0.666666667,0.333333333,0.333333333,0.333333333,0.333333333,0.5,0.5,0.481481481,0.5,0.617021277,0.676056338,0.5,0.475,0.5,0.5,0.515318083,A,H
0.333333333,0.5,0.666666667,0.333333333,0.666666667,0.666666667,0.333333333,0.333333333,0.166666667,0.444444444,0.428571429,0.5,0.478873239,0.40625,0.6,0.5,0.5,0.495432867,D,H
0.333333333,0.666666667,0.666666667,0.333333333,0.333333333,0.5,0.333333333,0.5,0.333333333,0.481481481,0.5,0.521276596,0.422535211,0.328125,0.225,0.5,0.5,0.73688465,D,H
0.333333333,0.833333333,0.666666667,0.666666667,0.333333333,0.5,0,0.333333333,0.333333333,0.592592593,0.571428571,0.468085106,0.549295775,0.53125,0.4375,0.55,0.5,0.569396168,A,H
0.666666667,0.666666667,0.666666667,0.333333333,0.5,0.333333333,0,0.333333333,0.5,0.555555556,0.5,0.489361702,0.549295775,0.21875,0.3375,0.35,0.5,0.541508366,D,H
0.333333333,0.5,0.666666667,0.333333333,0.666666667,0.333333333,0.333333333,0.333333333,0.5,0.481481481,0.642857143,0.659574468,0.746478873,0.5625,0.4,0.5,0.5,0.50893218,D,H
0.333333333,0.333333333,0.5,0.333333333,0.666666667,0.5,0.333333333,0.5,0.5,0.481481481,0.5,0.489361702,0.436619718,0.40625,0.4625,0.4,0.666666667,0.500929593,D,H
0.333333333,0.5,0.666666667,0.333333333,0.666666667,0.666666667,0.333333333,0.333333333,0.166666667,0.481481481,0.571428571,0.436170213,0.464788732,0.296875,0.425,0.3,0.5,0.488561959,A,A
0.666666667,0.5,0.5,0.333333333,0.5,0.333333333,0,0.5,0.666666667,0.555555556,0.5,0.5,0.521126761,0.5,0.35,0.5,0.5,0.415487834,H,H
0.333333333,0.5,0.666666667,0.333333333,0.666666667,0.5,0.333333333,0.333333333,0.333333333,0.444444444,0.428571429,0.638297872,0.732394366,0.640625,0.4375,0.3,0.666666667,0.523482338,D,H
0.333333333,0.5,0.666666667,0.333333333,0.5,0.333333333,0.333333333,0.5,0.5,0.407407407,0.428571429,0.457446809,0.507042254,0.609375,0.45,0.7,0.5,0.478861854,D,H
0.666666667,0.5,0.666666667,0.333333333,0.5,0.333333333,0,0.5,0.5,0.666666667,0.642857143,0.372340426,0.591549296,0.5625,0.4875,0.6,0.5,0.443941476,A,H
0.333333333,0.666666667,0.833333333,0.333333333,0.5,0.333333333,0.333333333,0.333333333,0.333333333,0.518518519,0.785714286,0.606382979,0.577464789,0.53125,0.4125,0.45,0.5,0.524452348,H,H
0.333333333,0.333333333,0.666666667,0.333333333,0.666666667,0.333333333,0.333333333,0.5,0.5,0.407407407,0.5,0.5,0.563380282,0.484375,0.5,0.65,0.5,0.515156414,H,H
0.666666667,0.333333333,0.666666667,0.333333333,0.666666667,0.5,0,0.5,0.333333333,0.407407407,0.428571429,0.553191489,0.521126761,0.546875,0.675,0.6,0.5,0.50796217,D,H
0.333333333,0.333333333,0.5,0.333333333,0.5,0.5,0.333333333,0.666666667,0.5,0.481481481,0.5,0.531914894,0.507042254,0.578125,0.3625,0.55,0.5,0.486945275,D,A
0.333333333,0.333333333,0.666666667,0.666666667,0.5,0.333333333,0,0.666666667,0.5,0.444444444,0.5,0.446808511,0.436619718,0.546875,0.5375,0.6,0.5,0.554199337,H,H
0.333333333,0.666666667,0.666666667,0.333333333,0.333333333,0.5,0.333333333,0.5,0.333333333,0.518518519,0.571428571,0.64893617,0.61971831,0.59375,0.3125,0.65,0.5,0.51968313,D,H
