Mgladbach3encountersWins,Leverkusen3encountersWins,Dortmund3encountersWins,Hoffenheim3encountersWins,Nurnberg3encountersWins,Hansa Rostock3encountersWins,Karlsruhe3encountersWins,Wolfsburg3encountersWins,Augsburg3encountersWins,Schalke 043encountersWins,Duisburg3encountersWins,Hamburg3encountersWins,FC Koln3encountersWins,Hannover3encountersWins,Kaiserslautern3encountersWins,Stuttgart3encountersWins,St Pauli3encountersWins,Ein Frankfurt3encountersWins,Freiburg3encountersWins,Bayern Munich3encountersWins,Mainz3encountersWins,Werder Bremen3encountersWins,Hertha3encountersWins,Bielefeld3encountersWins,Bochum3encountersWins,Cottbus3encountersWins,3AllWins,3Wins,Mgladbach3encountersLosses,Leverkusen3encountersLosses,Dortmund3encountersLosses,Hoffenheim3encountersLosses,Nurnberg3encountersLosses,Hansa Rostock3encountersLosses,Karlsruhe3encountersLosses,Wolfsburg3encountersLosses,Augsburg3encountersLosses,Schalke 043encountersLosses,Duisburg3encountersLosses,Hamburg3encountersLosses,FC Koln3encountersLosses,Hannover3encountersLosses,Kaiserslautern3encountersLosses,Stuttgart3encountersLosses,St Pauli3encountersLosses,Ein Frankfurt3encountersLosses,Freiburg3encountersLosses,Bayern Munich3encountersLosses,Mainz3encountersLosses,Werder Bremen3encountersLosses,Hertha3encountersLosses,Bielefeld3encountersLosses,Bochum3encountersLosses,Cottbus3encountersLosses,3AllLosses,3Losses,Mgladbach3encountersDraws,Leverkusen3encountersDraws,Dortmund3encountersDraws,Hoffenheim3encountersDraws,Nurnberg3encountersDraws,Hansa Rostock3encountersDraws,Karlsruhe3encountersDraws,Wolfsburg3encountersDraws,Augsburg3encountersDraws,Schalke 043encountersDraws,Duisburg3encountersDraws,Hamburg3encountersDraws,FC Koln3encountersDraws,Hannover3encountersDraws,Kaiserslautern3encountersDraws,Stuttgart3encountersDraws,St Pauli3encountersDraws,Ein Frankfurt3encountersDraws,Freiburg3encountersDraws,Bayern Munich3encountersDraws,Mainz3encountersDraws,Werder Bremen3encountersDraws,Hertha3encountersDraws,Bielefeld3encountersDraws,Bochum3encountersDraws,Cottbus3encountersDraws,3AllDraws,3Draws,3FTGoals,3HTGoals,3Shots,3ShotsOnTarget,3Corners,3Fouls,3Yellows,3Reds,PtsDiff,result,BetResult
0.333333333,-1,0,0,0,0,-0.5,1.333333333,0,0,0,1,-0.003487358,-1.333333333,0,0.333333333,-0.5,-2.666666667,-0.011914894,-0.333333333,-0.333333333,-0.333333333,0,0,0.166666667,-2,0.333333333,0.333333333,-2.666666667,1,0,0,-1.333333333,0,0,-2.666666667,-0.5,0,0,-1,0.000145307,0,1.333333333,1,0,0.333333333,0.009929078,1,1,1,-1,-0.5,0,0,-1.333333333,-3,0.333333333,0,0,0,1.333333333,0,-0.5,0,0.5,0,0,0,0.003051439,1.333333333,-1.333333333,-1.333333333,0.5,0.333333333,-0.000851064,0,0,0,0.333333333,-0.5,-0.833333333,0,1,1.333333333,1,0.333333333,20.33333333,25,-29.33333333,516,1.666666667,0,469,H,H
-1.333333333,-0.333333333,0,0,0,2,1.333333333,0.333333333,0,0,0.5,0.00178731,1,0.333333333,-1,0,-2,1,-1,-0.333333333,0.003546099,0,1.333333333,1.333333333,0.833333333,1.333333333,0,0,0,-1.333333333,0,0,0.333333333,0,0.333333333,0,-2,1,0.5,0.002085195,0,-0.333333333,-0.333333333,0,0.5,-0.333333333,1.333333333,1,-0.003829787,1,-0.333333333,0,0.333333333,0.333333333,0.333333333,0,1.333333333,3,0,0,-1,0,0,-1,1,-0.333333333,0,-0.00119154,-0.333333333,0,1.333333333,0,0.5,0,-0.333333333,0,0.000567376,-0.333333333,-1,0.333333333,-0.5,0,-1,0,-4,-2.666666667,120,60,100,679,9,0,-219,D,H
1,-1.333333333,1.333333333,-0.003484321,-0.007120023,-0.5,0.5,1,0,0,-0.5,0,-1.333333333,0,-1.666666667,-0.333333333,0,2.666666667,0,0,0.333333333,-0.333333333,-1.666666667,2,0.333333333,2,-1,0,-1,3,-2.666666667,0.005807201,0.004795118,0,-2,-1,0,0,-0.5,0,0,-1.666666667,0,2.666666667,-0.5,-0.333333333,0,0,0,1,0,-0.5,1,0,0.333333333,0,0,-0.333333333,0,-1.55E-18,3.10E-18,-0.5,0.5,0,0,0,0,0,1.333333333,0.333333333,0.333333333,-0.333333333,0.5,-0.333333333,0,0,-1,0,0.333333333,-0.5,-1.333333333,-2,0,0,-11,-4,-69,-29.33333333,29.33333333,-221.6666667,0,0,160,A,H
0,-1.333333333,-0.001936253,-0.333333333,-3,-2,-1.333333333,-2.666666667,-0.5,0,0,-1.333333333,-3,-1.333333333,-0.002632308,0.333333333,-1.5,-0.333333333,-1.666666667,-3,-1,-1,0.166666667,-0.333333333,-3,-1.333333333,-2.666666667,-3,1,3,-0.00536193,0,3,0,0,0.333333333,0,0.333333333,-0.5,0.333333333,0.333333333,1,-0.002770851,0.333333333,0.5,-0.833333333,0.333333333,3,1.333333333,0,-0.333333333,0,0,0,1.333333333,3,-0.333333333,-0.333333333,0.011170688,0.333333333,0,0,-0.333333333,0.333333333,1.5,-0.333333333,-0.5,1,1.333333333,0.333333333,0.004017733,-2.666666667,0,0.5,0,0,-0.333333333,0.333333333,0.166666667,-1.333333333,0,-0.333333333,0,0,-5.333333333,1.666666667,30.33333333,-48,9.666666667,-202.6666667,9,0,-5096,A,A
0,-0.001489425,-0.333333333,1.666666667,-3,0,-1.333333333,0,2,0.333333333,0,0,0,-0.000297885,1.666666667,1,1.5,-1.666666667,1,-1,1,0,-0.333333333,0,-1,0,1,0.333333333,-1,0.012809056,0,0,1.333333333,0,0.333333333,0,0,0,0.5,-0.333333333,0,0.003723563,0,-1.333333333,-0.5,0.333333333,0.333333333,1,0.333333333,-0.333333333,-0.333333333,1.333333333,-0.333333333,0,-0.333333333,-2.666666667,0.333333333,-0.00655347,0.333333333,-0.333333333,0.333333333,0,1,0,-2,-0.333333333,-0.5,1.666666667,0,-0.003425678,-0.333333333,0.333333333,0,0,-1.333333333,0,-1.333333333,1,2.666666667,-2.666666667,1.333333333,0,0,0.333333333,15,1,267.6666667,93.33333333,-35,-481.6666667,-2.666666667,0,279,H,H
-0.004649811,0.333333333,0.333333333,0.333333333,1.333333333,0,0.5,-1.666666667,-0.003249391,1.333333333,0,0.333333333,2.5,1.333333333,1.333333333,0.333333333,0,1.333333333,0.333333333,1.333333333,-1.666666667,0.333333333,-0.166666667,0.5,0,0.5,0,0,-0.000581226,-1.666666667,-0.166666667,0.833333333,-0.166666667,0,0,0.333333333,0,-0.166666667,0,0,-0.5,0.333333333,0.333333333,-1.666666667,2,0.333333333,-0.166666667,-1.666666667,1.333333333,0,0,0,1.333333333,0.5,0,0,-0.001453066,0.333333333,-0.166666667,-0.5,-0.5,0,0.5,0.333333333,0.000812348,-0.5,0,0.333333333,0,-2,-2,0.333333333,0,0,-0.166666667,0,0,-0.666666667,0.833333333,0.5,0.333333333,0,0,0,3,-2.666666667,-29,37.33333333,-10.33333333,-553,-9.333333333,0,1980,D,H
0.333333333,1.333333333,-0.333333333,0.333333333,0.333333333,0.5,0,0,0.5,-0.008042895,0,1.333333333,0,1,0.333333333,0,2,1,1,0,0,1,-0.002906132,1,0,2.666666667,0,1,1,0.333333333,1,-1,-2.666666667,-0.5,-0.333333333,0,-0.5,0.008489723,0,-1,0,-0.333333333,0.833333333,0,0,-0.333333333,0,0,0.333333333,-1.333333333,-0.000145307,0,0,-1.333333333,0,0.333333333,-1.333333333,-3,0,0,0.333333333,0,0.333333333,0,0,0.003723563,0,-0.333333333,0,0,-0.5,0,0,0,-0.333333333,0,-1,0.333333333,0.003632665,-1,0,0,0,-1.333333333,-5.333333333,1.333333333,-290.3333333,-69,-72,875,15,-1.333333333,2580,H,H
0.333333333,0.333333333,-0.333333333,-1,1,0,0.333333333,0.001042598,0,0.333333333,1.5,-1,2.666666667,0,0,1,-2,0.333333333,-1,0,0,-0.004319333,-1,3,-1.666666667,0,0,0.333333333,0,1,1.666666667,1.333333333,0,0,0,-0.002085195,2,0,-0.5,0,-0.333333333,1,0,-0.333333333,0,0,1.333333333,-1.666666667,-0.333333333,0.00119154,1,-0.333333333,0,0,0,0,-1,-1.333333333,0,-0.333333333,-0.333333333,0,-0.333333333,0.002532023,-2,-0.333333333,0,0.333333333,-0.333333333,-0.333333333,0,0,2,-1,-0.333333333,0.333333333,1,0.007596068,0,-1.333333333,0.333333333,0,0,-0.333333333,-5,-1,229.3333333,51.66666667,63,648,5.333333333,-0.333333333,-83,H,H
0.666666667,-1.333333333,0,-0.333333333,-0.333333333,-0.5,-1.333333333,0.666666667,-0.003249391,-0.008042895,-2,-1.333333333,-0.833333333,-1.333333333,-0.333333333,-0.333333333,-2,-1.333333333,-1.333333333,0,1.666666667,-1.333333333,-2.5,-1.333333333,-0.333333333,-3,0,1,-1.333333333,1.666666667,-0.833333333,0.166666667,0.166666667,0,0,-0.333333333,0,0.008489723,0,-0.333333333,0.166666667,0,-1.333333333,0.666666667,0,0,0.166666667,-1,-0.333333333,0,0,0,-0.333333333,0,0,0,0,0,0.166666667,0.166666667,0.166666667,-0.5,-0.333333333,0,0.000812348,0.003723563,0,1,0,1.666666667,2,0,0,-0.333333333,0.5,0,-0.333333333,1.666666667,0.5,-0.333333333,-0.333333333,0,0,-0.333333333,-3,1.666666667,-49.33333333,-48,-22.66666667,-327,-6.666666667,0,-2160,D,A
0,-0.333333333,0.333333333,1,2.666666667,2,1.333333333,0,-0.5,-0.333333333,0.5,-1.333333333,0,-0.000297885,1,0,0.5,2.666666667,-0.011914894,1.333333333,0.333333333,0.333333333,0,0,0.833333333,0.333333333,0,0,1,-1,-1.666666667,0,0,0,0,0,0,0,0,0,0,0.003723563,-1.333333333,0,0,-0.333333333,0.009929078,-1,-1.333333333,-1,0,0,0.333333333,0.333333333,1.333333333,0,-0.333333333,1.333333333,0,-1,-1.333333333,0,0.333333333,0,1.5,0.333333333,0.5,1.333333333,0,-0.003425678,0.333333333,0,-0.5,-0.333333333,-0.000851064,-0.333333333,1,0,0,3,-0.5,0.333333333,-1.333333333,0,-4,0,-233.3333333,-28,-6.333333333,-216,-5.333333333,0,640,D,H
